"time [s]"	"region"	"quantity [kg]"	"flux"	"flux_in"	"flux_out"	"mass"	"source"	"source_in"	"source_out"	"flux_increment"	"source_increment"	"flux_cumulative"	"source_cumulative"	"error"
290	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
290	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.2415e-12
300	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
300	"bulk"	"X"	0	0	0	2.1174e-12	0	0	0	0	0	0	0	0
300	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
300	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
300	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
300	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
300	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
300	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
300	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
300	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.28506e-12
310	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
310	"bulk"	"X"	0	0	0	2.18917e-12	0	0	0	0	0	0	0	0
310	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
310	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
310	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
310	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
310	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
310	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
310	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
310	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.32862e-12
320	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
320	"bulk"	"X"	0	0	0	2.26095e-12	0	0	0	0	0	0	0	0
320	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
320	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
320	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
320	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
320	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
320	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
320	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
320	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.37218e-12
330	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
330	"bulk"	"X"	0	0	0	2.33273e-12	0	0	0	0	0	0	0	0
330	"repository"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0	0
330	".bottom"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
330	".left"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
330	".right"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
330	".topright"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
330	".topleft"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
330	".IMPLICIT_BOUNDARY"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
330	"ALL"	"X"	0	0	0	0.00036	0	0	0	0	0	0	0.00036	1.41574e-12
340	"fracture"	"X"	0	0	0	0	0	0	0	0	0	0	0	0
340	"bulk"	"X"	0	0	0	2.4045e-12	0	0	0	0	0	0	0	0
